,Name,Faction,Comittee,Comission
27,Л.И.Бабашов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по транспорту и развитию транспортной инфраструктуры,
28,И.Н.Бабич,КПРФ,Комитет Государственной Думы по финансовому рынку,
29,Т.Т.Баженов,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды",
30,З.З.Байгускаров,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды",
31,Б.А.Барахоев,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по безопасности и противодействию коррупции,
32,А.А.Басанский,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по развитию Дальнего Востока и Арктики,
33,Р.А.Баталова,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по физической культуре и спорту,
34,К.М.Бахарев,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по финансовому рынку,
35,В.В.Бахметьев,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,
36,Б.Н.Башанкаев,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по охране здоровья,
37,Д.А.Белик,ЕДИНАЯ РОССИЯ,,
38,В.В.Белоусов,СПРАВЕДЛИВАЯ РОССИЯ – ЗА ПРАВДУ,Комитет Государственной Думы по защите конкуренции,
39,И.В.Белых,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по государственному строительству и законодательству,
40,М.Н.Берулава,КПРФ,,
41,С.В.Бессараб,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов",
42,Д.В.Бессарабов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по государственному строительству и законодательству,
43,Е.И.Бессонов,КПРФ,Комитет Государственной Думы по бюджету и налогам,
44,С.Ю.Бидонько,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по обеспечению жилищных прав граждан ']
45,А.Ж.Бифов,КПРФ,"Комитет Государственной Думы по вопросам собственности, земельным и имущественным отношениям",
46,А.А.Бичаев,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по развитию гражданского общества, вопросам общественных и религиозных объединений",
47,В.Н.Блоцкий,КПРФ,Комитет Государственной Думы по аграрным вопросам,
48,И.Б.Богуславский,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по контролю,
49,Е.В.Бондаренко,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по обеспечению жилищных прав граждан ']
50,А.А.Борисов,ЕДИНАЯ РОССИЯ,,"['Комиссия Государственной Думы Федерального Собрания Российской Федерации по Регламенту и обеспечению деятельности Государственной Думы ', 'Комиссия Государственной Думы Федерального Собрания Российской Федерации по вопросам депутатской этики ']"
51,А.Ю.Бородай,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по делам Содружества Независимых Государств, евразийской интеграции и связям с соотечественниками",
52,Н.И.Борцов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по делам национальностей,
53,С.М.Боярский,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по информационной политике, информационным технологиям и связи",
54,Н.Г.Брыкин,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по государственному строительству и законодательству,
55,Н.Р.Будуев,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды",
56,В.Е.Булавинов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по обеспечению жилищных прав граждан ']
57,Л.Н.Буранова,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по туризму и развитию туристической инфраструктуры,
58,С.В.Бурлаков,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по физической культуре и спорту,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по вопросам депутатской этики ']
